,test,People (unbal),MnNB (unbal),MnNB  (bal),MnNB (boot),MnNB (boot+vote)
0,accuracy,0.5923076923076923,0.9057039769732842,0.7622033139274519,0.7491794141326562,0.7911153119092628
1,precision,0.6,0.9202059202059202,0.737417943107221,0.7770297562946008,0.7740894421392347
2,recall,0.3050847457627119,0.24001342732460557,0.4505347593582888,0.7067973055725658,0.8099372889532079
3,specificity,0.8309859154929577,0.9971412762818148,0.9191919191919192,0.7925331996993235,0.7730430754979157
